strain,name,accession_number,common_name,product,b_number,cog_letter,cog_class,cog_desc
REL606,GCQD-4061,ECB_03812,glpF,GCQD-4061-MONOMER,Not Assigned,G,Carbohydrate transport and metabolism,Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)
REL606,glpF,ECB_03812,glpF,GCQD-4061-MONOMER,Not Assigned,G,Carbohydrate transport and metabolism,Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)
MG1655,glpG,ECK3410,glpG,rhomboid protease GlpG,b3424,O,"Posttranslational modification, protein turnover, chaperones","Membrane-associated serine protease, rhomboid family"
MG1655,glpG,ECK3410,glpG,rhomboid protease GlpG,b3424,O,"Posttranslational modification, protein turnover, chaperones","Membrane-associated serine protease, rhomboid family"
REL606,GCQD-3509,ECB_03275,glpG,GCQD-3509-MONOMER,Not Assigned,O,"Posttranslational modification, protein turnover, chaperones","Membrane-associated serine protease, rhomboid family"
REL606,glpG,ECB_03275,glpG,GCQD-3509-MONOMER,Not Assigned,O,"Posttranslational modification, protein turnover, chaperones","Membrane-associated serine protease, rhomboid family"
MG1655,glpK,ECK3918,glpK,glycerol kinase,b3926,C,Energy production and conversion,Glycerol kinase
MG1655,glpK,ECK3918,glpK,glycerol kinase,b3926,C,Energy production and conversion,Glycerol kinase
REL606,GCQD-4060,ECB_03811,glpK,GCQD-4060-MONOMER,Not Assigned,C,Energy production and conversion,Glycerol kinase
REL606,glpK,ECB_03811,glpK,GCQD-4060-MONOMER,Not Assigned,C,Energy production and conversion,Glycerol kinase
MG1655,glpQ,ECK2231,glpQ,glycerophosphoryl diester phosphodiesterase GlpQ,b2239,I,Lipid transport and metabolism,Glycerophosphoryl diester phosphodiesterase
MG1655,glpQ,ECK2231,glpQ,glycerophosphoryl diester phosphodiesterase GlpQ,b2239,I,Lipid transport and metabolism,Glycerophosphoryl diester phosphodiesterase
REL606,GCQD-2373,ECB_02165,glpQ,GCQD-2373-MONOMER,Not Assigned,I,Lipid transport and metabolism,Glycerophosphoryl diester phosphodiesterase
REL606,glpQ,ECB_02165,glpQ,GCQD-2373-MONOMER,Not Assigned,I,Lipid transport and metabolism,Glycerophosphoryl diester phosphodiesterase
MG1655,glpR,ECK3409,glpR,DNA-binding transcriptional repressor GlpR,b3423,Not Assigned,Not Assigned,Not Assigned
MG1655,glpR,ECK3409,glpR,DNA-binding transcriptional repressor GlpR,b3423,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-3508,ECB_03274,glpR,GCQD-3508-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,glpR,ECB_03274,glpR,GCQD-3508-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
MG1655,glpT,ECK2232,glpT,sn-glycerol 3-phosphate:phosphate antiporter,b2240,G,Carbohydrate transport and metabolism,Sugar phosphate permease
MG1655,glpT,ECK2232,glpT,sn-glycerol 3-phosphate:phosphate antiporter,b2240,G,Carbohydrate transport and metabolism,Sugar phosphate permease
REL606,GCQD-2374,ECB_02166,glpT,GCQD-2374-MONOMER,Not Assigned,G,Carbohydrate transport and metabolism,Sugar phosphate permease
REL606,glpT,ECB_02166,glpT,GCQD-2374-MONOMER,Not Assigned,G,Carbohydrate transport and metabolism,Sugar phosphate permease
MG1655,glpX,ECK3917,glpX,"fructose-1,6-bisphosphatase 2",b3925,G,Carbohydrate transport and metabolism,"Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase or related protein"
MG1655,glpX,ECK3917,glpX,"fructose-1,6-bisphosphatase 2",b3925,G,Carbohydrate transport and metabolism,"Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase or related protein"
REL606,GCQD-4059,ECB_03810,glpX,GCQD-4059-MONOMER,Not Assigned,G,Carbohydrate transport and metabolism,"Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase or related protein"
REL606,glpX,ECB_03810,glpX,GCQD-4059-MONOMER,Not Assigned,G,Carbohydrate transport and metabolism,"Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase or related protein"
MG1655,yfhZ,ECK2553,glrK,GlrK-<i>N</i>-phospho-L-histidine // histidine kinase GlrK,b2556,T,Signal transduction mechanisms,Signal transduction histidine kinase
MG1655,yfhK,ECK2553,glrK,GlrK-<i>N</i>-phospho-L-histidine // histidine kinase GlrK,b2556,T,Signal transduction mechanisms,Signal transduction histidine kinase
MG1655,qseE,ECK2553,glrK,GlrK-<i>N</i>-phospho-L-histidine // histidine kinase GlrK,b2556,T,Signal transduction mechanisms,Signal transduction histidine kinase
MG1655,glrK,ECK2553,glrK,GlrK-<i>N</i>-phospho-L-histidine // histidine kinase GlrK,b2556,T,Signal transduction mechanisms,Signal transduction histidine kinase
REL606,yfhZ,ECB_02448,glrK,GCQD-2662-MONOMER,Not Assigned,T,Signal transduction mechanisms,Signal transduction histidine kinase
REL606,yfhK,ECB_02448,glrK,GCQD-2662-MONOMER,Not Assigned,T,Signal transduction mechanisms,Signal transduction histidine kinase
REL606,qseE,ECB_02448,glrK,GCQD-2662-MONOMER,Not Assigned,T,Signal transduction mechanisms,Signal transduction histidine kinase
REL606,glrK,ECB_02448,glrK,GCQD-2662-MONOMER,Not Assigned,T,Signal transduction mechanisms,Signal transduction histidine kinase
MG1655,yfhA,ECK2551,glrR,DNA-binding transcriptional activator GlrR-phosphorylated // DNA-binding transcriptional activator GlrR,b2554,T,Signal transduction mechanisms,"DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains"
MG1655,qseF,ECK2551,glrR,DNA-binding transcriptional activator GlrR-phosphorylated // DNA-binding transcriptional activator GlrR,b2554,T,Signal transduction mechanisms,"DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains"
MG1655,glrR,ECK2551,glrR,DNA-binding transcriptional activator GlrR-phosphorylated // DNA-binding transcriptional activator GlrR,b2554,T,Signal transduction mechanisms,"DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains"
REL606,yfhA,ECB_02446,glrR,GCQD-2660-MONOMER,Not Assigned,T,Signal transduction mechanisms,"DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains"
REL606,qseF,ECB_02446,glrR,GCQD-2660-MONOMER,Not Assigned,T,Signal transduction mechanisms,"DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains"
REL606,glrR,ECB_02446,glrR,GCQD-2660-MONOMER,Not Assigned,T,Signal transduction mechanisms,"DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains"
MG1655,ybaS,ECK0479,glsA,glutaminase 1,b0485,E,Amino acid transport and metabolism,Glutaminase
MG1655,glsA,ECK0479,glsA,glutaminase 1,b0485,E,Amino acid transport and metabolism,Glutaminase
MG1655,yneH,ECK1517,glsB,glutaminase 2,b1524,E,Amino acid transport and metabolism,Glutaminase
MG1655,glsB,ECK1517,glsB,glutaminase 2,b1524,E,Amino acid transport and metabolism,Glutaminase
MG1655,gluT,ECK0709,gltA,citrate synthase,b0720,C,Energy production and conversion,Citrate synthase
MG1655,icdB,ECK0709,gltA,citrate synthase,b0720,C,Energy production and conversion,Citrate synthase
MG1655,gltA,ECK0709,gltA,citrate synthase,b0720,C,Energy production and conversion,Citrate synthase
REL606,gluT,ECB_00680,gltA,GCQD-871-MONOMER,Not Assigned,C,Energy production and conversion,Citrate synthase
REL606,icdB,ECB_00680,gltA,GCQD-871-MONOMER,Not Assigned,C,Energy production and conversion,Citrate synthase
REL606,gltA,ECB_00680,gltA,GCQD-871-MONOMER,Not Assigned,C,Energy production and conversion,Citrate synthase
MG1655,psiQ,ECK3202,gltB,glutamate synthase subunit GltB,b3212,E,Amino acid transport and metabolism,Glutamate synthase domain 1
MG1655,ossB,ECK3202,gltB,glutamate synthase subunit GltB,b3212,E,Amino acid transport and metabolism,Glutamate synthase domain 1
MG1655,aspB,ECK3202,gltB,glutamate synthase subunit GltB,b3212,E,Amino acid transport and metabolism,Glutamate synthase domain 1
MG1655,gltB,ECK3202,gltB,glutamate synthase subunit GltB,b3212,E,Amino acid transport and metabolism,Glutamate synthase domain 1
REL606,psiQ,ECB_03077,gltB,GCQD-3305-MONOMER,Not Assigned,E,Amino acid transport and metabolism,Glutamate synthase domain 1
REL606,ossB,ECB_03077,gltB,GCQD-3305-MONOMER,Not Assigned,E,Amino acid transport and metabolism,Glutamate synthase domain 1
REL606,aspB,ECB_03077,gltB,GCQD-3305-MONOMER,Not Assigned,E,Amino acid transport and metabolism,Glutamate synthase domain 1
REL606,gltB,ECB_03077,gltB,GCQD-3305-MONOMER,Not Assigned,E,Amino acid transport and metabolism,Glutamate synthase domain 1
MG1655,psiQ,ECK3203,gltD,glutamate synthase subunit GltD,b3213,E,Amino acid transport and metabolism,Glutamate synthase domain 1
MG1655,ossB,ECK3203,gltD,glutamate synthase subunit GltD,b3213,E,Amino acid transport and metabolism,Glutamate synthase domain 1
MG1655,aspB,ECK3203,gltD,glutamate synthase subunit GltD,b3213,E,Amino acid transport and metabolism,Glutamate synthase domain 1
MG1655,gltD,ECK3203,gltD,glutamate synthase subunit GltD,b3213,E,Amino acid transport and metabolism,NADPH-dependent glutamate synthase beta chain or related oxidoreductase
REL606,psiQ,ECB_03078,gltD,GCQD-3306-MONOMER,Not Assigned,E,Amino acid transport and metabolism,Glutamate synthase domain 1
REL606,ossB,ECB_03078,gltD,GCQD-3306-MONOMER,Not Assigned,E,Amino acid transport and metabolism,Glutamate synthase domain 1
REL606,aspB,ECB_03078,gltD,GCQD-3306-MONOMER,Not Assigned,E,Amino acid transport and metabolism,Glutamate synthase domain 1
REL606,gltD,ECB_03078,gltD,GCQD-3306-MONOMER,Not Assigned,E,Amino acid transport and metabolism,NADPH-dependent glutamate synthase beta chain or related oxidoreductase
MG1655,ossB,ECK3204,gltF,periplasmic protein GltF,b3214,E,Amino acid transport and metabolism,Glutamate synthase domain 1
MG1655,gltF,ECK3204,gltF,periplasmic protein GltF,b3214,E,Amino acid transport and metabolism,Glutamate synthase domain 1
MG1655,yzzK,ECK0648,gltI,glutamate/aspartate ABC transporter periplasmic binding protein,b0655,T,Signal transduction mechanisms,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain"
MG1655,ybeJ,ECK0648,gltI,glutamate/aspartate ABC transporter periplasmic binding protein,b0655,T,Signal transduction mechanisms,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain"
MG1655,gltI,ECK0648,gltI,glutamate/aspartate ABC transporter periplasmic binding protein,b0655,T,Signal transduction mechanisms,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain"
REL606,GCQD-807,ECB_00623,gltI,GCQD-807-MONOMER,Not Assigned,T,Signal transduction mechanisms,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain"
REL606,gltI,ECB_00623,gltI,GCQD-807-MONOMER,Not Assigned,T,Signal transduction mechanisms,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain"
MG1655,gltJ,ECK0647,gltJ,glutamate/aspartate ABC transporter membrane subunit GltJ,b0654,E,Amino acid transport and metabolism,"ABC-type amino acid transport system, permease component"
MG1655,gltJ,ECK0647,gltJ,glutamate/aspartate ABC transporter membrane subunit GltJ,b0654,E,Amino acid transport and metabolism,"ABC-type amino acid transport system, permease component"
REL606,GCQD-806,ECB_00622,gltJ,GCQD-806-MONOMER,Not Assigned,E,Amino acid transport and metabolism,"ABC-type amino acid transport system, permease component"
REL606,gltJ,ECB_00622,gltJ,GCQD-806-MONOMER,Not Assigned,E,Amino acid transport and metabolism,"ABC-type amino acid transport system, permease component"
MG1655,gltK,ECK0646,gltK,glutamate/aspartate ABC transporter membrane subunit GltK,b0653,E,Amino acid transport and metabolism,"ABC-type amino acid transport system, permease component"
MG1655,gltK,ECK0646,gltK,glutamate/aspartate ABC transporter membrane subunit GltK,b0653,E,Amino acid transport and metabolism,"ABC-type amino acid transport system, permease component"
REL606,GCQD-805,ECB_00621,gltK,GCQD-805-MONOMER,Not Assigned,E,Amino acid transport and metabolism,"ABC-type amino acid transport system, permease component"
REL606,gltK,ECB_00621,gltK,GCQD-805-MONOMER,Not Assigned,E,Amino acid transport and metabolism,"ABC-type amino acid transport system, permease component"
MG1655,gltL,ECK0645,gltL,glutamate/aspartate ABC transporter ATP binding subunit,b0652,E,Amino acid transport and metabolism,"ABC-type polar amino acid transport system, ATPase component"
MG1655,gltL,ECK0645,gltL,glutamate/aspartate ABC transporter ATP binding subunit,b0652,E,Amino acid transport and metabolism,"ABC-type polar amino acid transport system, ATPase component"
MG1655,gltP,ECK4070,gltP,glutamate/aspartate : H<sup>+</sup> symporter GltP,b4077,C,Energy production and conversion,Na+/H+-dicarboxylate symporter
MG1655,gltP,ECK4070,gltP,glutamate/aspartate : H<sup>+</sup> symporter GltP,b4077,C,Energy production and conversion,Na+/H+-dicarboxylate symporter
REL606,GCQD-4210,ECB_03949,gltP,GCQD-4210-MONOMER,Not Assigned,C,Energy production and conversion,Na+/H+-dicarboxylate symporter
REL606,gltP,ECB_03949,gltP,GCQD-4210-MONOMER,Not Assigned,C,Energy production and conversion,Na+/H+-dicarboxylate symporter
MG1655,gltC,ECK3643,gltS,glutamate:sodium symporter,b3653,E,Amino acid transport and metabolism,Na+/glutamate symporter
MG1655,gltS,ECK3643,gltS,glutamate:sodium symporter,b3653,E,Amino acid transport and metabolism,Na+/glutamate symporter
REL606,gltC,ECB_03511,gltS,GCQD-3745-MONOMER,Not Assigned,E,Amino acid transport and metabolism,Na+/glutamate symporter
REL606,gltS,ECB_03511,gltS,GCQD-3745-MONOMER,Not Assigned,E,Amino acid transport and metabolism,Na+/glutamate symporter
MG1655,tgtB,ECK3961,gltT,tRNA-Glu(UUC),b3969,Not Assigned,Not Assigned,Not Assigned
MG1655,gltT,ECK3961,gltT,tRNA-Glu(UUC),b3969,Not Assigned,Not Assigned,Not Assigned
MG1655,tgtC,ECK3751,gltU,tRNA-Glu(UUC),b3757,Not Assigned,Not Assigned,Not Assigned
MG1655,gltU,ECK3751,gltU,tRNA-Glu(UUC),b3757,Not Assigned,Not Assigned,Not Assigned
MG1655,tgtE,ECK4000,gltV,tRNA-Glu(UUC),b4008,Not Assigned,Not Assigned,Not Assigned
MG1655,gltV,ECK4000,gltV,tRNA-Glu(UUC),b4008,Not Assigned,Not Assigned,Not Assigned
MG1655,gltW,ECK2588,gltW,tRNA-Glu(UUC),b2590,Not Assigned,Not Assigned,Not Assigned
MG1655,gltW,ECK2588,gltW,tRNA-Glu(UUC),b2590,Not Assigned,Not Assigned,Not Assigned
MG1655,gltM,ECK2394,gltX,glutamate&mdash;tRNA ligase,b2400,J,"Translation, ribosomal structure and biogenesis",Glutamyl- or glutaminyl-tRNA synthetase
MG1655,gluRS,ECK2394,gltX,glutamate&mdash;tRNA ligase,b2400,J,"Translation, ribosomal structure and biogenesis",Glutamyl- or glutaminyl-tRNA synthetase
MG1655,gltX,ECK2394,gltX,glutamate&mdash;tRNA ligase,b2400,J,"Translation, ribosomal structure and biogenesis",Glutamyl- or glutaminyl-tRNA synthetase
REL606,gltM,ECB_02306,gltX,GCQD-2516-MONOMER,Not Assigned,J,"Translation, ribosomal structure and biogenesis",Glutamyl- or glutaminyl-tRNA synthetase
REL606,gluRS,ECB_02306,gltX,GCQD-2516-MONOMER,Not Assigned,J,"Translation, ribosomal structure and biogenesis",Glutamyl- or glutaminyl-tRNA synthetase
REL606,gltX,ECB_02306,gltX,GCQD-2516-MONOMER,Not Assigned,J,"Translation, ribosomal structure and biogenesis",Glutamyl- or glutaminyl-tRNA synthetase
MG1655,yadB,ECK0143,gluQ,glutamyl-Q tRNA<sup>Asp</sup> synthetase,b0144,J,"Translation, ribosomal structure and biogenesis",Glutamyl- or glutaminyl-tRNA synthetase
MG1655,gluQ,ECK0143,gluQ,glutamyl-Q tRNA<sup>Asp</sup> synthetase,b0144,J,"Translation, ribosomal structure and biogenesis",Glutamyl- or glutaminyl-tRNA synthetase
REL606,yadB,ECB_00143,gluQ,GCQD-321-MONOMER,Not Assigned,J,"Translation, ribosomal structure and biogenesis",Glutamyl- or glutaminyl-tRNA synthetase
REL606,gluQ,ECB_00143,gluQ,GCQD-321-MONOMER,Not Assigned,J,"Translation, ribosomal structure and biogenesis",Glutamyl- or glutaminyl-tRNA synthetase
MG1655,yidN,ECK3674,glvB,putative PTS enzyme II component GlvB,b3682,G,Carbohydrate transport and metabolism,"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific"
MG1655,yidO,ECK3674,glvB,putative PTS enzyme II component GlvB,b3682,G,Carbohydrate transport and metabolism,"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific"
MG1655,glvB,ECK3674,glvB,putative PTS enzyme II component GlvB,b3682,G,Carbohydrate transport and metabolism,"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific"
REL606,GCQD-3800,ECB_03566,glvBC,GCQD-3800-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,glvBC,ECB_03566,glvBC,GCQD-3800-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
MG1655,ptiC,ECK3675,glvC,putative PTS enzyme II component GlvC,b3683,G,Carbohydrate transport and metabolism,"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific"
MG1655,glvC,ECK3675,glvC,putative PTS enzyme II component GlvC,b3683,G,Carbohydrate transport and metabolism,"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific"
MG1655,b3681 (obsolete),ECK3673,glvG,,b4556,Not Assigned,Not Assigned,Not Assigned
MG1655,ECK3672 (obsolete),ECK3673,glvG,,b4556,Not Assigned,Not Assigned,Not Assigned
MG1655,ysdC,ECK3673,glvG,,b4556,Not Assigned,Not Assigned,Not Assigned
MG1655,yidM,ECK3673,glvG,,b4556,Not Assigned,Not Assigned,Not Assigned
MG1655,glvG,ECK3673,glvG,,b4556,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-3799,ECB_03565,glvG,GCQD-3799-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,glvG,ECB_03565,glvG,GCQD-3799-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
MG1655,glxB5,ECK0507,glxK,glycerate 2-kinase 2,b0514,G,Carbohydrate transport and metabolism,Glycerate kinase
MG1655,ybbZ,ECK0507,glxK,glycerate 2-kinase 2,b0514,G,Carbohydrate transport and metabolism,Glycerate kinase
MG1655,glxK,ECK0507,glxK,glycerate 2-kinase 2,b0514,G,Carbohydrate transport and metabolism,Glycerate kinase
REL606,glxB5,ECB_00464,glxK,GCQD-650-MONOMER,Not Assigned,G,Carbohydrate transport and metabolism,Glycerate kinase
REL606,ybbZ,ECB_00464,glxK,GCQD-650-MONOMER,Not Assigned,G,Carbohydrate transport and metabolism,Glycerate kinase
REL606,glxK,ECB_00464,glxK,GCQD-650-MONOMER,Not Assigned,G,Carbohydrate transport and metabolism,Glycerate kinase
MG1655,glxB1,ECK0502,glxR,tartronate semialdehyde reductase 2,b0509,I,Lipid transport and metabolism,3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase
MG1655,ybbQ,ECK0502,glxR,tartronate semialdehyde reductase 2,b0509,I,Lipid transport and metabolism,3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase
MG1655,glxR,ECK0502,glxR,tartronate semialdehyde reductase 2,b0509,I,Lipid transport and metabolism,3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase
REL606,glxB1,ECB_00459,glxR,GCQD-645-MONOMER,Not Assigned,I,Lipid transport and metabolism,3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase
REL606,ybbQ,ECB_00459,glxR,GCQD-645-MONOMER,Not Assigned,I,Lipid transport and metabolism,3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase
REL606,glxR,ECB_00459,glxR,GCQD-645-MONOMER,Not Assigned,I,Lipid transport and metabolism,3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase
MG1655,glyA,ECK2548,glyA,serine hydroxymethyltransferase,b2551,E,Amino acid transport and metabolism,Glycine/serine hydroxymethyltransferase
MG1655,glyA,ECK2548,glyA,serine hydroxymethyltransferase,b2551,E,Amino acid transport and metabolism,Glycine/serine hydroxymethyltransferase
REL606,GCQD-2657,ECB_02443,glyA,GCQD-2657-MONOMER,Not Assigned,E,Amino acid transport and metabolism,Glycine/serine hydroxymethyltransferase
REL606,glyA,ECB_02443,glyA,GCQD-2657-MONOMER,Not Assigned,E,Amino acid transport and metabolism,Glycine/serine hydroxymethyltransferase
MG1655,cfcA,ECK3548,glyQ,glycine&mdash;tRNA ligase subunit &alpha;,b3560,J,"Translation, ribosomal structure and biogenesis","Glycyl-tRNA synthetase, alpha subunit"
MG1655,glyS(A),ECK3548,glyQ,glycine&mdash;tRNA ligase subunit &alpha;,b3560,J,"Translation, ribosomal structure and biogenesis","Glycyl-tRNA synthetase, alpha subunit"
MG1655,glyQ,ECK3548,glyQ,glycine&mdash;tRNA ligase subunit &alpha;,b3560,J,"Translation, ribosomal structure and biogenesis","Glycyl-tRNA synthetase, alpha subunit"
REL606,cfcA,ECB_03411,glyQ,GCQD-3646-MONOMER,Not Assigned,J,"Translation, ribosomal structure and biogenesis","Glycyl-tRNA synthetase, alpha subunit"
REL606,glyS(A),ECB_03411,glyQ,GCQD-3646-MONOMER,Not Assigned,J,"Translation, ribosomal structure and biogenesis","Glycyl-tRNA synthetase, alpha subunit"
REL606,glyQ,ECB_03411,glyQ,GCQD-3646-MONOMER,Not Assigned,J,"Translation, ribosomal structure and biogenesis","Glycyl-tRNA synthetase, alpha subunit"
MG1655,glyS,ECK3547,glyS,glycine&mdash;tRNA ligase subunit &beta;,b3559,J,"Translation, ribosomal structure and biogenesis","Glycyl-tRNA synthetase, beta subunit"
MG1655,glyS,ECK3547,glyS,glycine&mdash;tRNA ligase subunit &beta;,b3559,J,"Translation, ribosomal structure and biogenesis","Glycyl-tRNA synthetase, beta subunit"
REL606,glyS(B),ECB_03410,glyS,GCQD-3645-MONOMER,Not Assigned,J,"Translation, ribosomal structure and biogenesis","Glycyl-tRNA synthetase, beta subunit"
REL606,gly,ECB_03410,glyS,GCQD-3645-MONOMER,Not Assigned,J,"Translation, ribosomal structure and biogenesis","Glycyl-tRNA synthetase, beta subunit"
REL606,gly-act,ECB_03410,glyS,GCQD-3645-MONOMER,Not Assigned,J,"Translation, ribosomal structure and biogenesis","Glycyl-tRNA synthetase, beta subunit"
REL606,glyS,ECB_03410,glyS,GCQD-3645-MONOMER,Not Assigned,J,"Translation, ribosomal structure and biogenesis","Glycyl-tRNA synthetase, beta subunit"
MG1655,sumA,ECK3969,glyT,tRNA-Gly(UCC),b3978,Not Assigned,Not Assigned,Not Assigned
MG1655,sup15B,ECK3969,glyT,tRNA-Gly(UCC),b3978,Not Assigned,Not Assigned,Not Assigned
MG1655,supA36,ECK3969,glyT,tRNA-Gly(UCC),b3978,Not Assigned,Not Assigned,Not Assigned
MG1655,glyT,ECK3969,glyT,tRNA-Gly(UCC),b3978,Not Assigned,Not Assigned,Not Assigned
MG1655,supT,ECK2860,glyU,tRNA-Gly(CCC),b2864,Not Assigned,Not Assigned,Not Assigned
MG1655,suA36,ECK2860,glyU,tRNA-Gly(CCC),b2864,Not Assigned,Not Assigned,Not Assigned
MG1655,sufD,ECK2860,glyU,tRNA-Gly(CCC),b2864,Not Assigned,Not Assigned,Not Assigned
MG1655,sumA,ECK2860,glyU,tRNA-Gly(CCC),b2864,Not Assigned,Not Assigned,Not Assigned
MG1655,sumB,ECK2860,glyU,tRNA-Gly(CCC),b2864,Not Assigned,Not Assigned,Not Assigned
MG1655,glyU,ECK2860,glyU,tRNA-Gly(CCC),b2864,Not Assigned,Not Assigned,Not Assigned
MG1655,glyValpha,ECK4159,glyV,tRNA-Gly(GCC),b4163,Not Assigned,Not Assigned,Not Assigned
MG1655,ins,ECK4159,glyV,tRNA-Gly(GCC),b4163,Not Assigned,Not Assigned,Not Assigned
MG1655,mutA,ECK4159,glyV,tRNA-Gly(GCC),b4163,Not Assigned,Not Assigned,Not Assigned
MG1655,suA58,ECK4159,glyV,tRNA-Gly(GCC),b4163,Not Assigned,Not Assigned,Not Assigned
MG1655,suA78,ECK4159,glyV,tRNA-Gly(GCC),b4163,Not Assigned,Not Assigned,Not Assigned
MG1655,glyV,ECK4159,glyV,tRNA-Gly(GCC),b4163,Not Assigned,Not Assigned,Not Assigned
MG1655,ins,ECK1910,glyW,tRNA-Gly(GCC),b1911,Not Assigned,Not Assigned,Not Assigned
MG1655,mutC,ECK1910,glyW,tRNA-Gly(GCC),b1911,Not Assigned,Not Assigned,Not Assigned
MG1655,suA58,ECK1910,glyW,tRNA-Gly(GCC),b1911,Not Assigned,Not Assigned,Not Assigned
MG1655,suA78,ECK1910,glyW,tRNA-Gly(GCC),b1911,Not Assigned,Not Assigned,Not Assigned
MG1655,glyW,ECK1910,glyW,tRNA-Gly(GCC),b1911,Not Assigned,Not Assigned,Not Assigned
MG1655,glyVbeta,ECK4160,glyX,tRNA-Gly(GCC),b4164,Not Assigned,Not Assigned,Not Assigned
MG1655,glyX,ECK4160,glyX,tRNA-Gly(GCC),b4164,Not Assigned,Not Assigned,Not Assigned
MG1655,glyVgamma,ECK4161,glyY,tRNA-Gly(GCC),b4165,Not Assigned,Not Assigned,Not Assigned
MG1655,glyY,ECK4161,glyY,tRNA-Gly(GCC),b4165,Not Assigned,Not Assigned,Not Assigned
MG1655,yefN,ECK2047,gmd,"GDP-mannose 4,6-dehydratase",b2053,M,Cell wall/membrane/envelope biogenesis,GDP-D-mannose dehydratase
MG1655,yefA,ECK2047,gmd,"GDP-mannose 4,6-dehydratase",b2053,M,Cell wall/membrane/envelope biogenesis,GDP-D-mannose dehydratase
MG1655,gmd,ECK2047,gmd,"GDP-mannose 4,6-dehydratase",b2053,M,Cell wall/membrane/envelope biogenesis,GDP-D-mannose dehydratase
REL606,yefN,ECB_01959,gmd,GCQD-2167-MONOMER,Not Assigned,M,Cell wall/membrane/envelope biogenesis,GDP-D-mannose dehydratase
REL606,yefA,ECB_01959,gmd,GCQD-2167-MONOMER,Not Assigned,M,Cell wall/membrane/envelope biogenesis,GDP-D-mannose dehydratase
REL606,gmd,ECB_01959,gmd,GCQD-2167-MONOMER,Not Assigned,M,Cell wall/membrane/envelope biogenesis,GDP-D-mannose dehydratase
MG1655,yafI,ECK0223,gmhA,D-sedoheptulose 7-phosphate isomerase,b0222,G,Carbohydrate transport and metabolism,Phosphoheptose isomerase
MG1655,lpcA,ECK0223,gmhA,D-sedoheptulose 7-phosphate isomerase,b0222,G,Carbohydrate transport and metabolism,Phosphoheptose isomerase
MG1655,tfrA,ECK0223,gmhA,D-sedoheptulose 7-phosphate isomerase,b0222,G,Carbohydrate transport and metabolism,Phosphoheptose isomerase
MG1655,gmhA,ECK0223,gmhA,D-sedoheptulose 7-phosphate isomerase,b0222,G,Carbohydrate transport and metabolism,Phosphoheptose isomerase
REL606,yafI,ECB_00217,gmhA,GCQD-402-MONOMER,Not Assigned,G,Carbohydrate transport and metabolism,Phosphoheptose isomerase
REL606,lpcA,ECB_00217,gmhA,GCQD-402-MONOMER,Not Assigned,G,Carbohydrate transport and metabolism,Phosphoheptose isomerase
REL606,tfrA,ECB_00217,gmhA,GCQD-402-MONOMER,Not Assigned,G,Carbohydrate transport and metabolism,Phosphoheptose isomerase
